"Number","Name","Type_1","Type_2","HP","Attack","Defense","Sp_Atk","Sp_Def","Speed","Generation","Legendary"
1,"Bulbasaur","Grass","Poison",45,49,49,65,65,45,1,FALSE
2,"Ivysaur","Grass","Poison",60,62,63,80,80,60,1,FALSE
3,"Venusaur","Grass","Poison",80,82,83,100,100,80,1,FALSE
4,"Charmander","Fire",NA,39,52,43,60,50,65,1,FALSE
5,"Charmeleon","Fire",NA,58,64,58,80,65,80,1,FALSE
6,"Charizard","Fire","Flying",78,84,78,109,85,100,1,FALSE
7,"Squirtle","Water",NA,44,48,65,50,64,43,1,FALSE
8,"Wartortle","Water",NA,59,63,80,65,80,58,1,FALSE
9,"Blastoise","Water",NA,79,83,100,85,105,78,1,FALSE
10,"Caterpie","Bug",NA,45,30,35,20,20,45,1,FALSE
11,"Metapod","Bug",NA,50,20,55,25,25,30,1,FALSE
12,"Butterfree","Bug","Flying",60,45,50,90,80,70,1,FALSE
13,"Weedle","Bug","Poison",40,35,30,20,20,50,1,FALSE
14,"Kakuna","Bug","Poison",45,25,50,25,25,35,1,FALSE
15,"Beedrill","Bug","Poison",65,90,40,45,80,75,1,FALSE
16,"Pidgey","Normal","Flying",40,45,40,35,35,56,1,FALSE
17,"Pidgeotto","Normal","Flying",63,60,55,50,50,71,1,FALSE
18,"Pidgeot","Normal","Flying",83,80,75,70,70,101,1,FALSE
19,"Rattata","Normal",NA,30,56,35,25,35,72,1,FALSE
20,"Raticate","Normal",NA,55,81,60,50,70,97,1,FALSE
21,"Spearow","Normal","Flying",40,60,30,31,31,70,1,FALSE
22,"Fearow","Normal","Flying",65,90,65,61,61,100,1,FALSE
23,"Ekans","Poison",NA,35,60,44,40,54,55,1,FALSE
24,"Arbok","Poison",NA,60,85,69,65,79,80,1,FALSE
25,"Pikachu","Electric",NA,35,55,40,50,50,90,1,FALSE
26,"Raichu","Electric",NA,60,90,55,90,80,110,1,FALSE
27,"Sandshrew","Ground",NA,50,75,85,20,30,40,1,FALSE
28,"Sandslash","Ground",NA,75,100,110,45,55,65,1,FALSE
29,"Nidoran<U+2640>","Poison",NA,55,47,52,40,40,41,1,FALSE
30,"Nidorina","Poison",NA,70,62,67,55,55,56,1,FALSE
31,"Nidoqueen","Poison","Ground",90,92,87,75,85,76,1,FALSE
32,"Nidoran<U+2642>","Poison",NA,46,57,40,40,40,50,1,FALSE
33,"Nidorino","Poison",NA,61,72,57,55,55,65,1,FALSE
34,"Nidoking","Poison","Ground",81,102,77,85,75,85,1,FALSE
35,"Clefairy","Fairy",NA,70,45,48,60,65,35,1,FALSE
36,"Clefable","Fairy",NA,95,70,73,95,90,60,1,FALSE
37,"Vulpix","Fire",NA,38,41,40,50,65,65,1,FALSE
38,"Ninetales","Fire",NA,73,76,75,81,100,100,1,FALSE
39,"Jigglypuff","Normal","Fairy",115,45,20,45,25,20,1,FALSE
40,"Wigglytuff","Normal","Fairy",140,70,45,85,50,45,1,FALSE
41,"Zubat","Poison","Flying",40,45,35,30,40,55,1,FALSE
42,"Golbat","Poison","Flying",75,80,70,65,75,90,1,FALSE
43,"Oddish","Grass","Poison",45,50,55,75,65,30,1,FALSE
44,"Gloom","Grass","Poison",60,65,70,85,75,40,1,FALSE
45,"Vileplume","Grass","Poison",75,80,85,110,90,50,1,FALSE
46,"Paras","Bug","Grass",35,70,55,45,55,25,1,FALSE
47,"Parasect","Bug","Grass",60,95,80,60,80,30,1,FALSE
48,"Venonat","Bug","Poison",60,55,50,40,55,45,1,FALSE
49,"Venomoth","Bug","Poison",70,65,60,90,75,90,1,FALSE
50,"Diglett","Ground",NA,10,55,25,35,45,95,1,FALSE
51,"Dugtrio","Ground",NA,35,80,50,50,70,120,1,FALSE
52,"Meowth","Normal",NA,40,45,35,40,40,90,1,FALSE
53,"Persian","Normal",NA,65,70,60,65,65,115,1,FALSE
54,"Psyduck","Water",NA,50,52,48,65,50,55,1,FALSE
55,"Golduck","Water",NA,80,82,78,95,80,85,1,FALSE
56,"Mankey","Fighting",NA,40,80,35,35,45,70,1,FALSE
57,NA,"Fighting",NA,65,105,60,60,70,95,1,FALSE
58,"Growlithe","Fire",NA,55,70,45,70,50,60,1,FALSE
59,"Arcanine","Fire",NA,90,110,80,100,80,95,1,FALSE
